Characteristic,GDP in million chained 2012 Canadian dollars
Real estate and rental and leasing,96526.0
Manufacturing,89281.3
Finance and insurance,69833.1
"Professional, scientific and technical services",53746.9
Public administration,53333.8
Health care and social assistance,51032.2
Construction,50792.3
Wholesale trade,47989.2
Educational services,42663.9
Retail trade,37948.0
Transportation and warehousing,29849.6
Information and cultural industries,28697.6
"Administrative and support, waste management and remediation services",23607.0
Accommodation and food services,15733.3
Utilities,14363.7
Other services (except public administration),13764.0
"Agriculture, forestry, fishing and hunting",8635.7
"Mining, quarrying, and oil and gas extraction",6653.9
"Arts, entertainment and recreation",6424.6
Management of companies and enterprises,3846.8
