Characteristic,Revenue in million U.S. dollars
Golden State Warriors,474
New York Knicks,421
Los Angeles Lakers,400
Houston Rockets,308
Chicago Bulls,300
Dallas Mavericks,295
Brooklyn Nets (New Jersey bis einschl. 2011/12),280
Boston Celtics,274
Cleveland Cavaliers,269
Miami Heat,266
Toronto Raptors,264
Los Angeles Clippers,262
Philadelphia 76ers,259
San Antonio Spurs,255
Sacramento Kings,245
Portland Trail Blazers,240
Milwaukee Bucks,239
Oklahoma City Thunder,236
Washington Wizards,231
Detroit Pistons,227
Utah Jazz,226
Phoenix Suns,222
Atlanta Hawks,222
Orlando Magic,218
Denver Nuggets,218
Indiana Pacers,217
Charlotte Hornets,215
Minnesota Timberwolves,214
Memphis Grizzlies,210
New Orleans Pelicans,209
