Characteristic,Number of movies released
Original screenplay,7745
Based on real life events,3165
Based on fiction book/short story,2110
Remake,330
Based on factual book/article,270
Based on play,265
Based on comic/graphic novel,239
Based on TV,226
Based on folk tale/legend/fairytale,77
Based on game,51
Compilation,49
Based on short film,46
Based on musical/opera,44
Spin-off,39
Based on movie,34
Based on religious text,32
Based on toy,20
Based on musical group,9
Based on theme park ride,8
Based on web series,6
Based on ballet,4
Based on song,1
