Year,Footwear,Infants' and toddlers' apparel,Men's and boys' apparel,Women's and girls' apparel,Apparel average
2018,136.05,120.32,118.11,110.44,125.65
2017,136.69,114.92,117.23,111.02,125.61
2016,137.32,115.89,118.83,111.24,126.05
2015,136.79,119.74,119.62,111.21,125.9
2014,135.45,117.55,120.6,114.36,127.51
2013,135.02,116.54,121.59,113.34,127.41
2012,131.83,119.66,119.53,112.99,126.27
2011,128.48,113.57,114.7,109.17,122.11
2010,127.99,114.18,111.91,107.08,119.5
2009,126.85,114.49,113.63,108.09,120.08
