Characteristic,Gross domestic product in billion U.S. dollars
2026*,290.85
2025*,278.13
2024*,266.41
2023*,255.0
2022*,240.91
2021*,225.92
2020,203.77
2019,230.75
2018,225.14
2017,214.06
2016,194.95
2015,191.32
2014,202.31
2013,202.09
2012,192.88
2011,170.98
2010,148.93
2009,121.49
2008,121.75
2007,102.19
2006,87.46
2005,74.23
2004,66.13
2003,58.54
2002,53.95
2001,51.03
2000,50.41
1999,48.72
1998,53.92
1997,56.28
1996,53.41
1995,51.38
1994,43.23
1993,34.33
1992,35.38
1991,33.99
1990,28.33
1989,40.7
1988,32.98
1987,41.68
1986,25.24
