Hospital (Location),Number of beds
Jackson Memorial Hospital (Miami)*,5266
Florida Hospital Orlando,2473
New York Presbyterian Hospital/Weill Cornell Medical Center (New York City),2428
Baptist Medical Center (San Antonio),1563
University of Pittsburgh Medical Center Presbyterian,1540
Orlando (Fla.) Regional Medical Center,1530
"Montefiore Medical Center-Moses Division Hospital (Bronx, N.Y.)",1526
Yale-New Haven (Conn.) Hospital,1499
Barnes-Jewish Hospital (Saint Louis),1394
Methodist University Hospital (Memphis),1373
