Characteristic,Revenue in million U.S. dollars
Q1 '21,1036.02
Q4 '20,1289.04
Q3 '20,936.23
Q2 '20,683.44
Q1 '20,807.64
Q4 '19,1007.34
Q3 '19,823.72
Q2 '19,841.38
Q1 '19,786.89
Q4 '18,908.84
Q3 '18,758.11
Q2 '18,710.54
Q1 '18,664.87
Q4 '17,731.56
Q3 '17,589.63
Q2 '17,573.86
Q1 '17,548.25
Q4 '16,717.21
Q3 '16,615.93
Q2 '16,601.96
Q1 '16,594.52
Q4 '15,710.47
Q3 '15,569.24
Q2 '15,502.38
Q1 '15,435.94
Q4 '14,479.08
Q3 '14,361.27
Q2 '14,312.17
Q1 '14,250.49
Q4 '13,242.68
Q3 '13,168.58
Q2 '13,139.29
Q1 '13,114.34
Q4 '12,112.25
Q3 '12,82.33
Q2 '12,68.05
Q1 '12,54.31
Q4 '11,41.21
Q3 '11,26.42
Q2 '11,20.77
Q1 '11,17.91
