Industry,Real value added in billion chained (2012) U.S. dollars
Manufacturing,54.01
"Finance, insurance, real estate, rental, and leasing",32.34
Government and government enterprises,24.2
"Educational services, health care, and social assistance",16.9
Professional and business services,19.08
"Mining, quarrying, and oil and gas extraction",14.88
Retail trade,15.56
Wholesale trade,11.31
Construction,9.02
"Arts, entertainment, recreation, accommodation, and food services",7.01
Transportation and warehousing,6.58
Information,5.35
Utilities,4.92
"Agriculture, forestry, fishing, and hunting",2.4
