Characteristic,Gross domestic product in billion U.S. dollars
2026*,20.87
2025*,19.45
2024*,18.13
2023*,16.91
2022*,15.62
2021*,14.23
2020,13.14
2019,14.0
2018,13.14
2017,11.43
2016,11.16
2015,11.75
2014,12.23
2013,12.58
2012,12.28
2011,10.41
2010,7.19
2009,4.58
2008,5.62
2007,4.24
2006,3.41
2005,2.52
2004,2.32
2003,1.86
2002,1.63
2001,1.48
2000,1.33
1999,1.24
1998,1.31
1997,1.38
1996,1.57
1995,1.7
1994,1.08
1993,0.9
1992,1.83
1991,3.3
1990,3.13
1989,5.0
1988,4.8
1987,4.78
1986,4.25
