Characteristic,Percentage of SMEs
Q4 2020,33%
Q3 2020,34%
Q2 2020,19%
Q1 2020,38%
Q4 2019,45%
Q3 2019,43%
Q2 2019,48%
Q1 2019,41%
Q4 2018,37%
Q3 2018,39%
Q2 2018,40%
Q1 2018,39%
Q4 2017,39%
Q3 2017,37%
Q2 2017,33%
Q1 2017,32%
Q4 2016,37%
Q3 2016,30%
Q2 2016,33%
Q1 2016,40%
Q4 2015,42%
Q3 2015,35%
Q2 2015,31%
Q1 2015,33%
Q4 2014,34%
Q3 2014,37%
Q2 2014,43%
Q1 2014,34%
Q4 2013,39%
Q3 2013,40%
Q2 2013,47%
Q1 2013,38%
Q4 2012,37%
Q3 2012,33%
Q2 2012,38%
Q1 2012,37%
Q4 2011,42%
