Characteristic,Gross revenue (in million U.S. dollars)
"Las Vegas Strip, Nev.",6031
"Atlantic City, N.J.",5018
"Chicagoland, Ill./Ind.",2441
"Detroit, Mich.",1229
"Tunica/Lula, Miss.",1187
Connecticut,983
"St. Louis, Mo./Ill.",960
"Reno/Sparks, Nev.",920
"Boulder Strip, Nev.",886
"Shreveport, La.",814
"Lawrence/Rising Sun/Belterra, Ind.",754
"Kansas City, Mo.",719
"Downtown Vegas, Nev.",654
"Laughlin, Nev.",621
"Biloxi, Miss.",584
"New Orleans, La.",534
"Black Hawk, Colo.",532
"Lake Charles, La.",462
"Council Bluffs, Iowa",434
"Charles Town, W.Va.",414
