Nation,Average player value in million euros
Spain,27.04
Germany,24.43
Brazil,20.33
France,17.9
Argentina,17.02
Belgium,15.13
England,14.52
Italy,14.04
Portugal,12.92
Uruguay,9.46
The Netherlands,9.02
Croatia,8.4
Colombia,8.27
Russia,7.99
Switzerland,7.74
Chile,6.06
Ivory Coast,5.29
Cameroon,5.15
Bosnia and Herzegovina,5.0
Japan,4.26
Mexico,4.2
Ghana,4.19
Nigeria,3.78
Greece,3.47
Ecuador,2.73
United States,2.51
Algeria,2.49
South Korea,2.26
Costa Rica,1.29
Iran,1.05
Australia,0.93
Honduras,0.92
