Characteristic,Inflation rate compared to previous year
2026*,5.4%
2025*,5.5%
2024*,5.7%
2023*,6%
2022*,5.7%
2021*,5.4%
2020,4.19%
2019,5.62%
2018,8.6%
2017,8.59%
2016,6.06%
2015,7.4%
2014,6.08%
2013,5.83%
2012,5.71%
2011,9.48%
2010,9.25%
2009,8.95%
2008,9.3%
2007,10.29%
2006,10.77%
2005,18.36%
2004,13.96%
2003,-1.7%
2002,16.5%
2001,7.92%
2000,10.67%
1999,8.06%
1998,6.21%
1997,4.49%
1996,19.76%
1995,49.04%
1994,38.99%
1993,9.99%
1992,14.57%
1991,8.54%
1990,11.86%
1989,9.02%
1988,23.34%
1987,15.46%
1986,14.49%
