Characteristic,Total wage and salary workers in millions
2019,82.29
2018,81.92
2017,80.44
2016,79.88
2015,78.23
2014,77.21
2013,75.95
2012,75.28
2011,73.93
2010,72.9
2009,72.61
2008,75.31
2007,75.87
2006,76.51
2005,75.61
2004,73.94
2003,72.95
2002,72.51
2001,73.39
2000,73.5
1999,72.31
1998,71.44
1997,70.74
1996,69.26
1995,68.35
1994,66.55
1993,64.27
1992,63.61
1991,62.63
1990,63.17
1989,62.39
1988,60.88
1987,59.55
1986,57.53
1985,55.76
1984,54.14
1983,51.82
1982,50.85
1981,51.87
1980,51.34
1979,51.72
