Characteristic,Season best total score
Aljona Savchenko & Bruno Massot (Germany),236.68
Wenjing Sui & Cong Han (China),234.53
Evgenia Tarasova & Vladimir Morozov (Russia),224.25
Ksenia Stolbova & Fedor Klimov (Russia),222.74
Meagan Duhamel & Eric Radford (Canada),222.22
Xiaoyu Yu & Hao Zhang (China),219.2
Vanessa James & Morgan Cipres (France),214.37
Kristina Astakhova & Alexei Rogonov (Russia),203.64
Natalia Zabiiako & Alexander Enbert (Russia),202.96
Cheng Peng & Yang Jin (China),198.03
