Characteristic,Revenue in million U.S. dollars
Q1 '17****,1327.0
Q4 '16***,1469.0
Q3 '16**,1305.0
Q2 '16*,1308.0
Q1 '16,1087.0
Q4 '15,1273.0
Q3 '15,1226.0
Q2 '15,1243.0
Q1 '15,1226.0
Q4 '14,1253.0
Q3 '14,1148.0
Q2 '14,1084.0
Q1 '14,1133.0
Q4 '13,1266.0
Q3 '13,1139.0
Q2 '13,1135.0
Q1 '13,1140.0
Q4 '12,1346.0
Q3 '12,1202.0
Q2 '12,1217.79
Q1 '12,1221.23
Q4 '11,1324.15
Q3 '11,1216.67
Q2 '11,1229.02
Q1 '11,1214.36
Q4 '10,1525.11
Q3 '10,1601.2
Q2 '10,1601.38
Q1 '10,1596.96
Q4 '09,1731.98
Q3 '09,1575.4
Q2 '09,1572.9
Q1 '09,1580.04
Q4 '08,1806.39
Q3 '08,1786.43
Q2 '08,1798.09
Q1 '08,1817.6
Q4 '07,1832.0
Q3 '07,1767.51
Q2 '07,1697.92
Q1 '07,1671.85
