Characteristic,Share of shipments
Q1 '21,21.8%
Q4 '20,19.1%
Q3 '20,22.7%
Q2 '20,19.5%
Q1 '20,21.1%
Q4 '19,18.8%
Q3 '19,21.8%
Q2 '19,22.7%
Q1 '19,23.1%
Q4 '18,18.8%
Q3 '18,20.3%
Q2 '18,21%
Q1 '18,23.5%
Q4 '17,18.9%
Q3 '17,22.1%
Q2 '17,22.9%
Q1 '17,23.3%
Q4 '16,18%
Q3 '16,20.9%
Q2 '16,22.4%
Q1 '16,23.8%
Q4 '15,20.4%
Q3 '15,23.3%
Q2 '15,21.7%
Q1 '15,24.6%
Q4 '14,19.9%
Q3 '14,23.9%
Q2 '14,24.8%
Q1 '14,30.7%
Q4 '13,28.83%
Q3 '13,32.5%
Q2 '13,32.3%
Q1 '13,31.9%
Q4 '12,29.1%
Q3 '12,31.1%
Q2 '12,32.2%
Q1 '12,28.8%
Q4 '11,22.5%
Q3 '11,22.7%
Q2 '11,17%
Q1 '11,11.3%
Q4 '10,9.4%
Q3 '10,8.8%
Q2 '10,5.6%
Q1 '10,4.3%
Q4 '09,3.3%
Q3 '09,3%
Q2 '09,3%
