Characteristic,Net premiums earned in million U.S. dollars
National Indemnity Co.,26406.98
Everest Reins. Co.,6429.25
Munich Re America Corp.,4997.77
Transatlantic Reinsurance,4282.68
General Re Group,3630.24
Odyssey Reins. Group,3326.98
Swiss Reins. America Corp.,2923.76
Partner Reins. Co.,2132.01
SCOR U.S. Group/SCOR re,2106.54
XL Reins. America,1947.75
Endurance Reins. Corp. of America,1259.28
Renaissance Resinsurance,697.59
Axis Reins. Co.,685.4
The Toa Reins. Co. of America,564.9
American Agricultural Ins. Co.,420.81
Sirius America Insurance Co.,351.8
EMC Reins. Co.,199.19
