Characteristic,Number of likes in millions
@world_record_egg: Photo of an egg (Jan 2019),55.1
@arianagrande: Photos of her wedding with Dalton Gomez (May 2021),26.3
@xxxtentacion: Final image before his death (May 2018),24.6
@billieeilish: Reveal of her blonde hair (Mar 2021),23.0
@billieeilish: Photo from British Vogue shoot (May 2021),21.7
@cristiano: Post in remembrance of Diego Maradona (Nov 2020),19.8
@chadwickboseman: Family's announcement of his death (Aug 2020),19.2
@billieeilish: Photo with blonde hair (Mar 2021),18.5
@kyliejenner: First photo of her daughter (Feb 2018),18.4
@arianagrande: Photos from her wedding with Dalton Gomez (May 2021),18.2
