Characteristic,More than last year,Same as last year,Less than last year,No money
Sports and recreational footwear,9,43,11,37
Sports and recreational clothing,9,40,13,38
Outdoor recreational activities,8,44,11,37
Gym memberships and fees,7,26,7,60
Sports and recreational equipment,7,33,11,49
Travel to take part in sports and recreation,7,28,9,56
Individual sporting events,5,18,7,70
Team sports outside of school,5,18,6,71
Sports and recreation lessons and camps,5,15,6,74
Team sports at school,4,15,4,77
