Characteristic,Gross domestic product in billion U.S. dollars
2026*,80.38
2025*,75.67
2024*,71.6
2023*,67.91
2022*,64.5
2021*,61.18
2020*,61.45
2019,63.95
2018,62.34
2017,60.52
2016,58.85
2015,55.41
2014,51.18
2013,50.33
2012,46.98
2011,42.72
2010,37.63
2009,30.83
2008,30.84
2007,26.86
2006,22.66
2005,19.99
2004,18.56
2003,17.22
2002,16.53
2001,15.93
2000,14.97
1999,14.21
1998,13.63
1997,12.57
1996,11.64
1995,11.55
1994,10.47
1993,9.59
1992,8.58
1991,7.24
1990,5.72
1989,5.23
1988,4.62
1987,4.54
1986,4.41
