Characteristic,USD MXN exchange rate
Nov-20,20.04
Oct-20,21.35
Sep-20,22.37
Aug-20,21.75
Jul-20,22.0
Jun-20,23.06
May-20,22.31
Apr-20,23.74
Mar-20,23.83
Feb-20,19.46
Jan-20,18.78
Dec-19,18.92
Nov-19,19.55
Oct-19,19.09
Sep-19,19.68
Aug-19,20.12
Jul-19,19.06
Jun-19,19.17
May-19,19.53
Apr-19,19.0
Mar-19,19.36
Feb-19,19.16
Jan-19,19.11
Dec-18,19.65
Nov-18,20.22
Oct-18,20.06
Sep-18,18.79
Aug-18,19.1
Jul-18,18.53
Jun-18,20.15
May-18,19.78
Apr-18,18.64
Mar-18,18.17
Feb-18,18.83
Jan-18,18.59
Dec-17,19.7
Nov-17,18.55
Oct-17,19.23
Sep-17,18.15
Aug-17,17.74
Jul-17,17.76
Jun-17,18.03
May-17,18.72
Apr-17,19.06
Mar-17,18.73
Feb-17,19.9
