Characteristic,Number of medals
Norway,368
United States,305
Germany,240
Austria,232
Canada,199
Soviet Union,194
Finland,167
Sweden,158
Switzerland,153
Netherlands,130
France,124
Italy,124
Russia (incl. USSR / CIS),120
East Germany,110
South Korea,70
China,62
Japan,58
West Germany,39
Great Britain,31
Czech Republic,31
Czechoslovakia,25
Unified Team,23
Poland,22
United Team of Germany,19
Belarus,18
Slovenia,17
Olympic Athletes from Russia,17
Australia,15
Croatia,11
Liechtenstein,10
Ukraine,8
Kazakhstan,8
Slovakia,8
Latvia,8
Hungary,7
Estonia,7
Bulgaria,6
Belgium,6
Spain,4
Yugoslavia,4
