Characteristic,Market cap change in million U.S. dollars
Gilead Sciences,9008
CSL,7224
Regeneron Pharmaceuticals,6188
Roche,4800
Moderna,1125
Zhejiang Hisun Pharmaceutical,769
Vir Biotechnology,587
Cerus,224
Novacyt,97
Co-Diagnostics,75
Faron Pharmaceuticals,72
Novavax,71
Cytodyn,58
Cocrystal Pharma,55
Inovio Pharmaceuticals,50
Nanoviricides,46
Seegene,38
Cytosorbents,36
Pharmamar,23
Q Biomed,17
Ibio,10
AIM Immunotech,3
Innovation Pharmaceuticals,3
Immunoprecise Antibodies,2
