Characteristic,Turnover in million SEK
Meritor HVS AB,5282
ELON Group AB (publ),3423
Atria Sverige AB,2929
Örebro Rådhus AB,2892
BAE Systems Bofors AB,2267
Kopparbergs Bryggeri AB,1933
Linde Material Handling AB,1888
Zinkgruvan Mining AB,1878
Dressmann AB,1465
Kommuninvest i Sverige AB,1224
Ahlstrom-Munksjö Aspa Bruk AB,1170
Cambrex Karlskoga AB,1412
LäroMedia Örebro AB,1063
Bharat Forge Kilsta AB,907
Suzuki Garphyttan AB,901
Würth Svenska AB,885
Orica Sweden AB,804
Fortum Waste Solutions AB,762
Radiator VVS AB,733
Moelven Valåsen AB,720
