Characteristic,Turnover in million SEK
Spotify AB,44387
Pinnacle Sweden AB,3397
Evry AB,1537
Google Sweden AB,1263
Eniro AB,1060
Storytel Sweden AB,746
TT Nyhetsbyrån AB,689
Hero Gaming Group AB,521
Refinitiv Sweden AB,399
Avanade Sweden AB,365
Acast AB (publ),361
Posti Messaging AB,320
Prisjakt Sverige AB,264
Readly International AB (publ),263
Readly AB,263
EMG - Education Media Group AB,255
Loopia AB,221
Digital New Agency Group AB,196
Iron Mountain Sweden AB,195
K.G.M. Datadistribution AB,186
