Characteristic,Expenditure as share of GDP
2019/20,35.4%
2018/19,35%
2017/18,35.6%
2016/17,35.9%
2015/16,36.9%
2014/15,37.5%
2013/14,38.3%
2012/13,39.5%
2011/12,40.2%
2010/11,40.8%
2009/10,40.7%
2008/09,38.1%
2007/08,36%
2006/07,35.6%
2005/06,35.8%
2004/05,35.8%
2003/04,35%
2002/03,33.7%
2001/02,33.1%
2000/01,32.6%
1999/00,32.1%
1998/99,32.5%
1997/98,33%
1996/97,33%
1995/96,34.1%
1994/95,34.3%
1993/94,34.4%
1992/93,34.6%
1991/92,32.7%
1990/91,30.9%
1989/90,30.6%
1988/89,31.1%
1987/88,33.3%
1986/87,34.9%
1985/86,35.5%
1984/85,36.8%
1983/84,36.7%
1982/83,37.2%
1981/82,37.2%
1980/81,36.3%
1979/80,34.3%
1978/79,34.4%
1977/78,34.7%
