Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",10.3
Government and government enterprises,4.95
"Educational services, health care, and social assistance",4.81
"Agriculture, forestry, fishing, and hunting",5.88
Manufacturing,4.47
Retail trade,3.37
Wholesale trade,3.08
Professional and business services,3.12
"Arts, entertainment, recreation, accommodation, and food services",1.36
Construction,1.68
Information,1.61
Transportation and warehousing,0.87
Utilities,0.85
"Mining, quarrying, and oil and gas extraction",0.15
