Characteristic,Tests,Cases
Maharashtra,35668,1982
Rajasthan,28505,804
Kerala,14989,375
Delhi,14036,1154
Uttar Pradesh,11855,483
Gujarat,11715,516
Tamil Nadu,10655,1075
Madhya Pradesh,10481,562
Karnataka,9251,232
Andhra Pradesh,6958,420
Bihar,6703,64
Punjab,4281,170
Chhattisgarh,3945,31
Haryana,3903,195
Odissa,3862,54
Jammu & Kashmir,3600,245
Assam,3138,29
West Bengal,2523,134
Jharkhand,2117,19
Uttarakhand,1705,35
Himachal Pradesh,1113,32
Andaman & Nicobar islands,523,11
Goa,406,7
Chandigarh,279,21
Tripura,274,2
Arunachal Pradesh,206,1
Manipur,185,2
Mizoram,87,1
Nagaland,70,1
Sikkim,48,0
