Characteristic,Percent change in compensation
Public health and preventative medicine,11%
Allergy and immunology,9%
Orthopedics,6%
Oncology,5%
Neurology,5%
Internal medicine,3%
Pulmonary medicine,3%
Pathology,3%
Psychiatry,3%
Ophthalmology,3%
Pediatrics,3%
Infectious diseases,3%
Urology,2%
Cardiology,2%
Critical care,2%
Radiology,2%
Obstetrics and gynacology,2%
Plastic surgery,2%
Family medicine,1%
Anesthesiology,1%
Rheumatology,1%
Emergency medicine,1%
Physical medicine and rehabilitation,1%
General surgery,1%
Nephrology,1%
Gastroenterology,0%
Diabetes and endocrinology,0%
Otolaryngology,-1%
Dermatology,-2%
