Entity,Strongly Strongly oppose favor,Somewhat oppose,Somewhat favor,Strongly favor
Temporarily cutting workers payroll Social Security and Medicare taxes,314620,46,20,26
benefits beyond July 31,314620,0,0,0
Extending the $600-per-week increase in unemployment,39,20,19,27
state and local governments,23,9,14,39
Providing financial assistance to,23,9,14,39
keeping workers on payroll,0,0,0,0
and loans to businesses,11,8,42,45
additional tax cuts oans to businesses,11,8,42,45
Providing additional tax cuts and loans to businesses,11,8,42,45
"Preventing evictions, foreclosures on those who have lost jobs or income",12,12,12,3
