Characteristic,CAGR
SOLO NETWORK,78.4%
Omega Geração,73.3%
Leedsay,71.8%
HTK Lentes,70.3%
Matrix Energia,54.6%
SUGOI,54.2%
Valemobi,53.9%
A.Life Group,49.6%
ClearSale,49%
Usebens Seguros SA,46.6%
VENTISOL,45.5%
JA Saúde Animal,41.7%
DB1 Group,40.8%
BBM LOGÍSTICA,38.4%
Daitan Group,37%
BrD Brasil Distressed,35.9%
Griaule,35%
Buysoft,34.4%
Cabelauto Condutores Elétricos,32.6%
AMERICA ENERGIA SA,32.5%
Pravaler,30.8%
EMAE,28.6%
CCM Indústria e Comércio de Produtos Descartáveis,27.6%
PLAXMETAL,27.2%
Soufer,26.9%
Grupo Roncador,23.3%
RodOil,22%
Binatural,20.7%
SICOOB CREDIP,20.5%
Hassmann,18.5%
