Characteristic,Fan Cost Index in U.S. dollars
Toronto Maple Leafs**,572.58
Boston Bruins,509.8
New York Rangers,479.48
Chicago Blackhawks,463.2
Vancouver Canucks**,456.35
Winnipeg Jets**,413.04
Washington Capitals,411.94
Montreal Canadians**,410.04
Edmonton Oilers**,393.75
Pittsburgh Pinguins,390.84
Philadelphia Flyers,386.11
Los Angeles Kings,384.99
Minnesota Wild,383.25
NHL Average,363.58
Calgary Flames**,352.12
San Jose Sharks,344.42
Nashville Predators,343.14
Carolina Hurricanes,341.17
St. Louis Blues,327.32
New Jersey Devils,313.85
Detroit Red Wings,307.54
New York Islanders,299.59
Ottawa Senators**,296.19
Colorado Avalanche,295.64
Buffalo Sabres,290.9
Anaheim Ducks,288.88
Columbus Blue Jackets,288.62
Tampa Bay Lightning,281.02
Dallas Stars,263.11
Florida Panthers,255.55
