Characteristic,Length of rail network in kilometers
Germany,39299
France *,27594
Poland,18536
Italy,16781
United Kingdom,16294
Spain,15893
Sweden,10906
Romania,10765
Turkey,10417
Czech Republic,9406
Hungary,7752
Finland,5925
Austria,4953
Norway,4134
Switzerland,4032
Bulgaria,4030
Serbia,3724
Slovak Republic,3627
Belgium *,3602
Netherlands,3220
Croatia,2605
Portugal,2546
Denmark,2519
Greece,2292
Republic of Ireland,2045
Lithuania,1911
Latvia,1860
Slovenia,1209
Estonia,1033
North Macedonia,683
Albania*,423
Luxembourg,275
Montenegro,249
