Characteristic,Inflation rate compared to previous year
2026*,4%
2025*,4%
2024*,4%
2023*,4%
2022*,4.12%
2021*,4.31%
2020*,3.47%
2019,4.37%
2018,4.35%
2017,3.93%
2016,2.73%
2015,3.16%
2014,6.08%
2013,5.19%
2012,5.22%
2011,6.76%
2010,4.7%
2009,5.5%
2008,11.4%
2007,6.94%
2006,5.58%
2005,8.81%
2004,8.11%
2003,7.67%
2002,7.69%
2001,9.68%
2000,11.05%
1999,11.66%
1998,13.67%
1997,20.2%
1996,23.85%
1995,29.43%
1994,21.77%
1993,10.78%
1992,8.74%
1991,33.95%
1990,23.32%
1989,9.85%
1988,4.49%
1987,2.49%
1986,4.35%
