Characteristic,Inflation rate compared to previous year
2026*,6.46%
2025*,6.49%
2024*,6.53%
2023*,7.27%
2022*,8.01%
2021*,8.66%
2020,10.74%
2019,6.74%
2018,3.93%
2017,4.15%
2016,2.86%
2015,4.53%
2014,8.62%
2013,7.36%
2012,11%
2011,13.66%
2010,10.1%
2009,19.56%
2008,12%
2007,7.77%
2006,7.92%
2005,9.28%
2004,4.57%
2003,3.1%
2002,3.54%
2001,4.41%
2000,3.59%
1999,5.74%
1998,7.81%
1997,11.81%
1996,10.78%
1995,13.02%
1994,11.27%
1993,9.83%
1992,4.85%
1991,12.63%
1990,9.05%
1989,7.88%
1988,8.84%
1987,4.69%
1986,3.47%
