Characteristic,United Kingdom,England & Wales,Scotland,Northern Ireland
2019/20,96.4,102.8,45.1,59
2018/19,95.0,101.5,45.3,56
2017/18,88.8,94.7,45.1,54
2016/17,81.0,86.0,44.2,54
2015/16,74.7,78.7,45.8,58
2014/15,70.1,73.2,47.9,57
2013/14,68.7,71.2,50.8,56
2012/13,68.7,72.3,51.4,55
2011/12,69.6,78.6,59.3,57
2010/11,75.8,75.1,61.4,58
2009/10,76.9,79.1,64.6,61
2008/09,84.0,86.5,72.5,62
2007/08,88.8,91.8,74.6,62
2006/07,98.1,101.3,81.7,69
2005/06,100.9,104.5,81.8,71
2004/05,103.3,106.6,86.2,69
2003/04,109.9,114.3,81.7,74
2002/03,110.1,114.1,82.6,84
