Characteristic,Market interest
e-View Personal Health Information,79%
e-View Rx* & Rx History,76%
e-Rx Renewal Request,76%
e-Booking Services with Regular Doctor,75%
Appointment Reminders,75%
Specialist Referrals Tracking,74%
e-Booking Services with Specialists & Other Health Professionals,72%
e-View Specialist Referral Request,69%
Virtual Care- Secure Email,64%
e-Assessment of Health/Mental Health Status,64%
Web & App for Monitoring Health/Well-Being,60%
Virtual Care- SMS or App,59%
e-Mental Health Tools,58%
Remote Patient Monitoring Device for Home,54%
Virtual Care- Virtual Visit,44%
