Characteristic,Number of cars sold
Jan '20,31163
Dec '19,224
Nov '19,741
Oct '19,2164
Sep '19,3415
Aug '19,5087
Jul '19,24681
Jun '19,1408
May '19,6320
Apr '19,8904
Mar '19,16687
Feb '19,15069
Jan '19,32370
Dec '18,142
Nov '18,645
Oct '18,1689
Sep '18,3192
Aug '18,5921
Jul '18,26958
Jun '18,1251
May '18,6056
Apr '18,8053
Mar '18,17728
Feb '18,17012
Jan '18,37034
Dec '17,159
Nov '17,682
Oct '17,1943
Sep '17,3897
Aug '17,5730
Jul '17,27706
Jun '17,1400
May '17,5992
Apr '17,7841
Mar '17,19890
Feb '17,17089
Jan '17,39003
