Characteristic,Share of people aged 15-64 with a degree
Ireland,42.8%
Cyprus,40.2%
Luxembourg,40.9%
Switzerland,39.3%
Norway,38.8%
Finland,39.8%
Sweden,38.3%
Iceland,36.8%
Lithuania,38.7%
Belgium,37.6%
Estonia,37.1%
Spain,36%
Netherlands,36.6%
France,35.3%
Denmark,33.7%
Latvia,33.2%
Slovenia,31.5%
Greece,28.5%
Poland,28.9%
Germany,27.2%
Bulgaria,25.6%
Malta,28%
Portugal,25.4%
Croatia,22%
Slovakia,23.9%
Hungary,23.6%
Czechia,22.1%
Serbia,21%
Montenegro,21.8%
North Macedonia,20%
Turkey,19.7%
Italy,17.9%
Romania,16.2%
