Characteristic,Number of visits in thousands
National Museum of Natural History,572.64
Smithsonian American Art Museum (With the Renwick Gallery),387.4
National Museum of African American History and Culture,367.73
National Zoo,356.46
National Portrait Gallery,321.29
National Air and Space Museum's Steven F. Udvar-Hazy Center,311.55
National Museum of American History,310.65
National Air and Space Museum,267.0
"National Museum of the American Indian (Washington, D.C.)",143.5
Hirshhorn Museum and Sculpture Garden,133.05
"Smithsonian Institution Building, ""The Castle""",100.0
National Postal Museum,84.86
Renwick Gallery of the Smithsonian American Art Museum,66.12
National Museum of the American Indian Heye Center (New York City),49.65
Freer Gallery of Art,49.28
"Cooper Hewitt, Smithsonian Design Museum",38.58
Arthur M. Sackler Gallery,30.05
S. Dillon Ripley Center,27.19
National Museum of African Art,23.11
Anacostia Community Museum,6.14
