Characteristic,Price of soft drink in U.S. dollars
Tampa Bay Lightning (20),6
Boston Bruins (14),5.75
Chicago Blackhawks (24),5.75
Anaheim Ducks (21),5.5
New York Rangers (24),5.5
St. Louis Blues (20),5.5
Los Angeles Kings (21),5.25
Florida Panthers (20),5
Minnesota Wild (24),5
Washington Capitals (16),5
New York Islanders (16),5
Columbus Blue Jackets (22),4.75
Carolina Hurricanes (20),4.5
Colorado Avalanche (16),4.5
NHL average (19),4.46
New Jersey Devils (16),4.25
Winnipeg Jets (16),4.24
Philadelphia Flyers (16),4
Dallas Stars (16),4
Detroit Red Wings (16),4
San Jose Sharks (16),4
Montreal Canadians (24),3.88
Calgary Flames (20),3.61
Vancouver Canucks (16),3.57
Toronto Maple Leafs (14),3.57
Ottawa Senators (20),3.57
Edmonton Oilers (24),3.52
Nashville Predators (16),3.5
Buffalo Sabres (16),3
Pittsburgh Pinguins (12),3
Phoenix Coyotes (16)**,-
