Characteristic,North America,Europe,Rest of world
Q4 '20,7.19,1.91,1.11
Q3 '20,5.49,1.43,0.95
Q2 '20,3.4,1.1,0.89
Q1 '20,3.57,1.09,1.0
Q4 '19,4.42,1.37,1.35
Q3 '19,3.75,1.05,1.01
Q2 '19,3.14,0.95,1.2
Q1 '19,2.81,0.77,0.97
Q4 '18,3.38,1.04,1.24
Q3 '18,2.62,0.85,0.84
Q2 '18,2.21,0.66,0.96
Q1 '18,2.1,0.53,0.58
Q4 '17,2.75,0.66,0.56
Q3 '17,2.17,0.48,0.3
Q2 '17,1.97,0.39,0.29
Q1 '17,1.81,0.24,0.19
Q4 '16,2.15,0.28,0.15
Q3 '16,1.76,0.24,0.04
Q2 '16,1.06,0.14,0.01
Q1 '16,0.67,0.07,0.01
