Characteristic,2015,2016,2017,2018,2019,2020,2021
Dec,365.9,311.0,344.6,286.8,408.3,256.4,-
Nov,351.1,352.3,323.8,315.8,360.5,302.5,-
Oct,299.0,343.5,310.5,329.6,334.2,337.7,-
Sep,337.1,304.7,310.3,354.2,354.9,306.0,-
Aug,319.8,309.0,339.7,350.5,362.7,275.7,-
Jul,307.7,297.3,406.3,317.1,327.3,353.9,-
Jun,365.7,278.6,369.9,339.4,366.7,310.1,-
May,143.5,320.9,333.2,373.5,414.6,265.6,-
Apr,193.9,337.3,351.4,357.0,358.9,273.1,-
Mar,256.3,269.3,391.1,350.2,316.0,352.4,296.4
Feb,288.9,315.8,333.6,333.4,331.3,361.4,279.9
Jan,296.7,359.8,319.3,310.3,341.6,365.7,391
