Characteristic,Share of respondents who are worried
"May 11 to 12, 2021",54%
"Feb 23 to 24, 2021",69%
"Jan 20 to 21, 2021",73%
"Jan 5 to 6, 2021",71%
"Nov 17 to 18, 2020",69%
"Oct 29, 2020",78%
"Oct 13 to 14, 2020",71%
"Sep 30 to Oct 1, 2020",69%
"Sep 25, 2020",68%
"Sep 8 to 9, 2020",67%
"Aug 13 to 14, 2020",73%
"Jul 9 to 10, 2020",69%
"Jun 23 to 24, 2020",65%
"Jun 10 to 11, 2020",62%
"May 26 to 27, 2020",65%
"May 12 to 13, 2020",76%
"Apr 28 to 29, 2020",78%
"Apr 15 to16, 2020",75%
"Apr 1 to 2, 2020",82%
"Mar 26 to 27, 2020",79%
"Mar 24 to 25, 2020",85%
"Mar 19 to 20, 2020",84%
"Mar 15, 2020",74%
"Mar 5, 2020",47%
"Feb 27 to 28, 2020",61%
"Jan 29 to 30, 2020",44%
