Characteristic,Box office revenue in U.S. million dollars
Home Alone(1990),285.76
Dr. Seuss' The Grinch (2018),270.52
How the Grinch StoleChristmas (2000),260.04
The Polar Express(2004),157.22
Elf(2003),173.84
Home Alone 2: Lost in New York(1992),173.59
The Santa Clause(1994),144.83
The Santa Clause 2(2002),139.24
A Christmas Carol(2009),137.86
Four Christmases(2008),120.15
Daddy's Home 2(2017),104.03
The Santa Clause 3:The Escape Clause (2006),84.5
Tim Burton's NightmareBefore Christmas (1993),75.08
Christmas with the Kranks(2004),73.78
A Bad Moms Christmas(2017),72.11
Fred Claus(2007),72.01
Christmas Vacation(1996),71.32
The Best Man Holiday(2013),70.53
Jingle All the Way(1996),60.59
Scrooged(1988),60.33
