Characteristic,Percentage change*
Jun 20,78.3%
May 20,58.5%
Apr 20,34.8%
Mar 20,17.8%
Feb 20,4.5%
Jan 20,-0.7%
Dec 19,8.1%
Nov 19,-5.6%
Oct 19,4.2%
Sep 19,2.7%
Aug 19,6.2%
Jul 19,11.1%
Jun 19,13.2%
May 19,8.4%
Apr 19,16.9%
Mar 19,9.8%
Feb 19,16.4%
Jan 19,12.3%
Dec 18,12.6%
Nov 18,14.8%
Oct 18,19.2%
Sep 18,18.6%
Aug 18,17.5%
Jul 18,18%
Jun 18,22%
May 18,26.7%
Apr 18,18.7%
Mar 18,21.2%
Feb 18,16.3%
Jan 18,18.2%
Dec 17,16.6%
Nov 17,13.7%
Oct 17,10.4%
Sep 17,15%
Aug 17,17.4%
Jul 17,18.3%
Jun 17,13.5%
May 17,13.7%
Apr 17,14.3%
Mar 17,21.1%
Feb 17,18.7%
Jan 17,17.8%
Dec 16,17.4%
Nov 16,19.3%
