Characteristic,Kit sponsorship revenue in million GBP
Manchester United (Chevrolet),64.0
Manchester City (Etihad),45.0
Chelsea FC (Yokohama),40.0
Liverpool FC (Standard Chartered),40.0
Arsenal FC (Fly Emirates),40.0
Tottenham Hotspur (AIA),35.0
West Ham United (Betway),10.0
Everton FC (SportPesa),9.6
Wolverhampton Wanderers FC (ManBetX),8.0
Southampton FC (LD Sports),7.5
Burnley (LoveBet),7.5
Crystal Palace (ManBetX),6.5
Newcastle United (Fun88),6.5
Watford (Sportsbet.io),6.5
Aston Villa (W88),6.0
AFC Bournemouth (M88),5.0
Leicester City (King Power),4.0
Sheffield United (USG),3.5
Norwich City (Dafabet),3.0
Brighton (American Express),1.5
