Characteristic,Number of units sold in millions
'Unknown' - Cai Xukun (Chinese),2.91
'Justice (China Special Deluxe)' - Justin Bieber (English),0.89
'Thirty-Two's Stand' - Ren Jialun (Chinese),0.66
'DON'T FIGHT THE FEELING (Special Album)' - EXO (Korean),0.45
'Lonely Planet' - Mao Buyi (Chinese),0.36
'LILAC (5th Album)' - IU (Korean),0.35
'Fearless' - Taylor Swift (English),0.34
'Love Radio Airplane' - New Pants (Chinese),0.29
'I'm Not Cool' - HyunA (Korean),0.28
'Bambi (The 3rd Mini Album)' - Baekhyun (Korean),0.24
