Characteristic,Price of a hot dog in U.S. dollars
Florida Panthers,6.5
New York Rangers,6.5
Chicago Blackhawks,6.25
New York Islanders,6.25
Winnipeg Jets,6.02
Anaheim Ducks,6
Los Angeles Kings,5.75
Boston Bruins,5.75
New Jersey Devils,5.75
Washington Capitals,5.5
Philadelphia Flyers,5.25
St. Louis Blues,5
Minnesota Wild,5
Pittsburgh Pinguins,5
NHL average,4.94
Vancouver Canucks,4.91
Toronto Maple Leafs,4.84
Colorado Avalanche,4.75
Tampa Bay Lightning,4.5
Buffalo Sabres,4.25
Nashville Predators,4.25
San Jose Sharks,4
Dallas Stars,4
Columbus Blue Jackets,4
Carolina Hurricanes,4
Detroit Red Wings,4
Edmonton Oilers,3.79
Montreal Canadiens,3.69
Calgary Flames,3.61
Ottawa Senators,3.57
Phoenix Coyotes*,-
