Characteristic,Annual turnover in million euros
Germany,22833.6
Spain,22004.8
France*,18748.7
Italy,18555.0
United Kingdom,16718.7
Belgium **,6399.6
Netherlands,5337.5
Sweden,5074.2
Poland,4885.7
Austria,3898.3
Greece ***,3178.4
Portugal,2568.4
Hungary,2552.0
Finland,1769.1
Ireland,1659.3
Denmark,1156.1
Czech Republic,918.1
Romania,826.3
Croatia,645.3
Bulgaria,602.6
Slovakia,568.7
Cyprus,381.0
Malta,340.6
Luxembourg,259.8
Slovenia,174.4
Latvia,127.4
Lithuania,94.9
Estonia,92.6
