Characteristic,Believe in,Don''t believe in,Not sure
God,80%,9%,11%
Heaven,78%,9%,14%
Miracles,76%,8%,16%
Jesus is God or the Son of God,74%,12%,14%
Angels,74%,10%,15%
The resurrection of Jesus Christ,70%,13%,17%
The Devil,65%,17%,18%
Hell,64%,15%,21%
Survival of the soul after death,62%,11%,26%
The Virgin birth (Jesus born of Mary),59%,16%,25%
Ghosts,46%,31%,23%
Darwin’s theory of evolution,43%,24%,33%
Creationism,38%,22%,39%
Astrology,36%,38%,26%
UFOs,31%,39%,29%
Witches,23%,56%,21%
Reincarnation – that you were once another person,21%,46%,34%
