Characteristic,Units sold
Dec 19,373
Nov 19,531
Oct 19,411
Sep 19,779
Aug 19,411
Jul 19,451
Jun 19,582
May 19,737
Apr 19,371
Mar 19,986
Feb 19,189
Jan 19,372
Dec 18,372
Nov 18,467
Oct 18,376
Sep 18,867
Aug 18,232
Jul 18,299
Jun 18,644
May 18,652
Apr 18,477
Mar 18,1322
Feb 18,171
Jan 18,235
Dec 17,261
Nov 17,347
Oct 17,280
Sep 17,1059
Aug 17,207
Jul 17,434
Jun 17,363
May 17,303
Apr 17,364
Mar 17,1807
Feb 17,227
Jan 17,728
Dec 16,813
Nov 16,735
Oct 16,780
Sep 16,2492
Aug 16,488
Jul 16,1182
