Characteristic,Gross domestic product in billion U.S. dollars
2026*,108.98
2025*,104.34
2024*,99.91
2023*,95.34
2022*,90.45
2021*,84.08
2020,73.21
2019,71.11
2018,70.95
2017,64.16
2016,60.72
2015,57.77
2014,66.21
2013,61.76
2012,56.71
2011,60.07
2010,53.31
2009,51.52
2008,56.07
2007,50.96
2006,42.45
2005,37.38
2004,34.73
2003,29.62
2002,23.71
2001,21.29
2000,21.33
1999,21.17
1998,19.34
1997,18.5
1996,20.55
1995,20.66
1994,17.56
1993,15.78
1992,15.39
1991,13.74
1990,12.68
1989,9.94
1988,9.34
1987,8.24
1986,6.64
