Characteristic,Number of live births
16 years,3
17 years,4
18 years,11
19 years,32
20 years,42
21 years,51
22 years,81
23 years,103
24 years,138
25 years,165
26 years,197
27 years,217
28 years,165
29 years,162
30 years,173
31 years,144
32 years,93
33 years,68
34 years,62
35 years,58
36 years,34
37 years,30
38 years,25
39 years,18
40 years,17
41 years,8
42 years,10
43 years,8
44 years,2
45 years,2
46 years,2
47 years,0
48 years,0
49 years,2
50 years and older,0
