Characteristic,March to February 2020,April to February 2020
Household appliances and electronics,270%,542%
Household chemistry,216%,345%
Supplements,52%,157%
Clothing,63%,154%
Courier services,53%,143%
Game Streaming,76%,123%
Perfume,81%,123%
Marketplaces,37%,81%
Online gambling,22%,53%
"Financial support (eg. charity, funding)",35%,53%
Food delivery,17%,47%
Bookstore,85%,44%
TV Streaming,47%,38%
Mobile services,14%,13%
Pharmacies,35%,-15%
Bookmaker's betting,-26%,-58%
Tickets/transport,-53%,-88%
