Characteristic,Number of monthly active users in millions
Q1 '19,330.0
Q4 '18,321.0
Q3 '18,326.0
Q2 '18,335.0
Q1 '18,336.0
Q4 '17,330.0
Q3 '17,330.0
Q2 '17,326.0
Q1 '17,327.0
Q4 '16,318.0
Q3 '16,317.0
Q2 '16,313.0
Q1 '16,310.0
Q4 '15,305.0
Q3 '15,307.0
Q2 '15,304.0
Q1 '15,302.0
Q4 '14,288.0
Q3 '14,284.0
Q2 '14,271.0
Q1 '14,255.0
Q4 '13,241.0
Q3 '13,231.7
Q2 '13,218.0
Q1 '13,204.0
Q4 '12,185.0
Q3 '12,167.0
Q2 '12,151.0
Q1 '12,138.0
Q4 '11,117.0
Q3 '11,101.0
Q2 '11,85.0
Q1 '11,68.0
Q4 '10,54.0
Q3 '10,49.0
Q2 '10,40.0
Q1 '10,30.0
