Characteristic,Units sold
Dec '19,323
Nov '19,257
Oct '19,311
Sep '19,889
Aug '19,407
Jul '19,759
Jun '19,730
May '19,788
Apr '19,704
Mar '19,1481
Feb '19,198
Jan '19,232
Dec ´18,289
Nov ´18,268
Oct ´18,324
Sep ´18,768
Aug ´18,398
Jul ´18,749
Jun ´18,872
May ´18,698
Apr ´18,621
Mar ´18,1659
Feb ´18,164
Jan ´18,214
Dec ´17,266
Nov ´17,300
Oct ´17,294
Sep ´17,822
Aug ´17,375
Jul ´17,583
Jun ´17,702
May ´17,688
Apr ´17,767
Mar ´17,1156
Feb ´17,231
Jan ´17,224
Dec ´16,519
Nov ´16,292
Oct `16,307
Sep ´16,1123
Aug ´16,460
Jul ´16,619
Jun ´16,738
May ´16,692
Apr ´16,753
Mar ´16,1161
Feb ´16,205
Jan ´16,240
