Characteristic,Index score (0-100)
Norway*,6.72
Finland,6.99
Sweden,7.24
Denmark,8.57
Netherlands,9.67
Portugal,10.11
Switzerland*,10.55
Belgium,11.69
Ireland,11.91
Germany,15.24
Estonia,15.25
Iceland*,15.37
Austria,16.34
Luxembourg*,17.56
Latvia,19.26
Cyprus,19.85
Lithuania,20.15
Spain,20.44
United Kingdom*,21.59
France,22.6
Slovakia,23.02
Slovenia,23.1
Czechia,23.38
Italy,23.39
Romania,24.91
Croatia,27.95
Poland,28.84
Greece,29.01
Malta,30.46
Hungary,31.76
Serbia*,32.03
Ukraine*,32.96
Bulgaria,37.29
Russia*,48.71
