Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",92.99
Manufacturing,88.77
Professional and business services,67.43
Government and government enterprises,65.23
"Educational services, health care, and social assistance",40.02
Wholesale trade,29.9
Retail trade,28.78
Information,22.53
"Arts, entertainment, recreation, accommodation, and food services",13.18
Construction,17.16
Transportation and warehousing,11.17
Utilities,7.91
"Agriculture, forestry, fishing, and hunting",5.21
"Mining, quarrying, and oil and gas extraction",0.64
