Characteristic,Number of Facebook engagements in thousands
Obama signs a nationwide order banning The Pledge of Allegiance in Schools,2200.0
Obama cut $2.6 billion from programs for veterans to support Syrian refugees in the US,1700.0
Pope Francis endorses Trump for President,961.3
Ireland is officially accepting Trump refugees from America,817.9
Hillary Clinton sold weapons to ISIS and it was confirmed by WikiLeaks,789.5
Hillary Clinton suggested Trump should run for President,507.2
Trump won the popular vote,481.1
Mike Pence said Michelle Obama is the most vulgar First Lady ever,352.6
Donald Trump mistook famous drag queen RuPaul for a woman and groped him at a party in 1995,301.0
"The Clinton Foundation paid Khizr Khan's law firm $375,000",268.6
"Sarah Palin banned Muslims from ""entering"" her daughter",90.3
