Characteristic,Married couple,Single women,Single men,Other couples,Other households including more than 1 family,Children below 18 years not living with parents
2021,935013,704242,540379,348408,228028,1091
2020,934630,691059,527750,341985,231680,1028
2019,932591,682152,518279,338268,233819,962
2018,932254,676468,512552,335335,230875,988
2017,932782,672594,508596,329967,225097,1023
2016,934186,672803,507551,321748,217227,1070
2015,938488,671712,506497,313327,205506,1056
2014,943822,668261,502798,307746,197441,1181
2013,949702,665514,500096,301285,189981,1298
2012,954155,660879,495458,297272,184387,1402
2011,961560,660508,493599,291645,175724,1443
