Characteristic,Revenue in billion euros
Deutsche Telekom (Germany),73.1
Telefónica (Spain),52.0
Vodafone (UK),47.6
Orange (France),40.9
BT (UK),29.4
Telecom Italia (Italy),19.0
Telenor (Norway),14.1
Numericable-SFR (France),11.0
Swisscom (Switzerland),10.7
Rogers Communication (Canada),9.3
MTN (South Africa),9.0
TeliaSonera (Sweden),8.9
KPN (Netherlands),6.8
MTS (Russia),5.9
Belgacom-Proximus (Belgium),5.9
Bouygues Telecom (France),4.8
Turk Telecom (Turkey),4.8
MegaFon (Russia),4.3
Turkcell (Turkey),4.3
