Characteristic,GDP in trillion Mexican pesos
Q4 2020,17.54
Q3 2020,16.98
Q2 2020,15.11
Q1 2020,18.17
Q4 2019,18.36
Q3 2019,18.57
Q2 2019,18.57
Q1 2019,18.57
Q4 2018,18.51
Q3 2018,18.56
Q2 2018,18.53
Q1 2018,18.5
Q4 2017,18.29
Q3 2017,18.05
Q2 2017,18.13
Q1 2017,18.06
Q4 2016,17.97
Q3 2016,17.77
Q2 2016,17.6
Q1 2016,17.53
Q4 2015,17.43
Q3 2015,17.47
Q2 2015,17.26
Q1 2015,17.06
Q4 2014,16.97
Q3 2014,16.78
Q2 2014,16.73
Q1 2014,16.52
Q4 2013,16.41
Q3 2013,16.31
Q2 2013,16.16
Q1 2013,16.26
Q4 2012,16.22
Q3 2012,16.08
Q2 2012,15.98
Q1 2012,15.85
Q4 2011,15.75
Q3 2011,15.64
Q2 2011,15.34
Q1 2011,15.27
Q4 2010,15.15
Q3 2010,15.03
Q2 2010,14.89
Q1 2010,14.73
